ပါ	1.0
က	0.8640163354366928
တယ်	0.8182019225098779
ကို	0.7942663796662145
မ	0.643635371822846
သည်	0.5528026773603821
နေ	0.552493070708262
တာ	0.5494338621218375
တွေ	0.5046883293035325
ရ	0.4930633366751194
မှာ	0.48030311965559946
တဲ့	0.3715427257179926
များ	0.35439641446010495
တော့	0.3490520139175562
ဖြစ်	0.3357462994633485
ပြီး	0.3111399422067583
နဲ့	0.31021112225039804
ရှိ	0.29070590316683376
လို့	0.2852656719938668
တို့	0.2628781624108038
လည်း	0.25405437282538185
တစ်	0.24786223978298047
ဘူး	0.2466016984136345
ခဲ့	0.2439847850445244
ပဲ	0.24265789939258123
သူ	0.23822020404552693
ဆို	0.23017780267736038
လိုက်	0.22377189361325706
မှ	0.21057675296337797
လာ	0.20718582296396768
ပေး	0.20706050598572862
ကြ	0.20055139470425193
၏	0.1949416170313145
နိုင်	0.187945981010792
သွား	0.18785752196732913
ပြော	0.17834080320811466
ရင်	0.17587132157810934
လား	0.17459603703485285
မယ်	0.1656027009494604
သော	0.1600740107330306
ထား	0.15697057262487468
နှင့်	0.1331456035855399
လေး	0.13252639028129976
တွင်	0.13186294745532817
မှု	0.13118476145544614
ပြီ	0.13094887067287847
ရဲ့	0.13020434039039924
လေ	0.1290617444123371
ရေး	0.1276906292386625
လုပ်	0.12310550215250339
လဲ	0.12169752904405261
ချင်	0.11924279058795778
ချစ်	0.11669959308840007
ဒီ	0.11428171256708144
သိ	0.1100430500678186
ဘာ	0.1098956183287138
ပါစေ	0.10779471604647048
ဟုတ်	0.10745562304652946
ကောင်း	0.10730819130742467
လို	0.10714601639440939
ဟာ	0.10587810343810816
နော်	0.10426372589491066
နှစ်	0.10269357787344459
ဖို့	0.10211122250398065
အရမ်း	0.10055581765642507
အားပေး	0.09664150498319278
မြန်မာ	0.09433419826620275
အတွက်	0.09407619272276936
ခြင်း	0.08913722946275875
ပြန်	0.08890133868019107
ထဲ	0.08868756265848912
ခု	0.08830424013681665
ကျွန်တော်	0.08823052426726426
ကြီး	0.08715427257179925
၍	0.08472902046352539
ပေါ့	0.07760806746476381
ယောက်	0.07518281535648995
အောင်	0.07372324113935248
လူ	0.07286813705254468
ကြည့်	0.07218995105266261
သို့	0.07120215840066049
နိုင်ငံ	0.06952880816182108
သူ့	0.0654891785103497
ဦး	0.06438344046706375
သေး	0.06394114524974936
မည်	0.0604027835112343
မင်း	0.05957716577224745
ရောက်	0.05911275579406735
သာ	0.059053783098425426
စရာ	0.05853777201155865
စေ	0.058065990446423306
ဘယ်	0.05795541664209471
ရာ	0.056857050185763994
ရေ	0.05642949814236009
ဟု	0.056171492598926696
ကလေး	0.055051011381730255
ကြောင်း	0.054652945686147314
လှ	0.05420327888187769
မိ	0.05334817479506988
မင်္ဂလာ	0.05285427846906882
